variation,accuracy,best_params,best_score,roc_auc
0.00,0.8658536585365854,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8048780487804879,0.8810526315789473
0.00,0.7682926829268293,"{'svm__C': 0.1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7439024390243902,0.7973324658425505
0.00,0.8414634146341463,"{'svm__C': 5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8048780487804879,0.7765151515151514
0.00,0.7804878048780488,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7926829268292683,0.6616379310344828
0.00,0.8902439024390244,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8414634146341463,0.7919354838709677
0.25,0.8658536585365854,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7926829268292683,0.7608695652173914
0.25,0.7804878048780488,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8170731707317073,0.5870413739266198
0.25,0.7317073170731707,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8048780487804879,0.734006734006734
0.25,0.8414634146341463,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8170731707317073,0.7780172413793103
0.25,0.7804878048780488,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7682926829268293,0.7298245614035087
0.50,0.6097560975609756,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.7317073170731707,0.5111111111111111
0.50,0.6829268292682927,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7926829268292683,0.4878408253500368
0.50,0.6707317073170732,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 100}",0.7682926829268293,0.5835087719298245
0.50,0.8170731707317073,"{'svm__C': 0.1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7682926829268293,0.6590909090909092
0.50,0.7560975609756098,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 50}",0.8414634146341463,0.6050110537951363
0.75,0.7195121951219512,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7317073170731707,0.6346779440468445
0.75,0.7804878048780488,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7804878048780488,0.6494252873563219
0.75,0.7926829268292683,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.8170731707317073,0.7669789227166277
0.75,0.8048780487804879,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8170731707317073,0.667741935483871
0.75,0.6951219512195121,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7317073170731707,0.5604395604395604
1.00,0.6829268292682927,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7073170731707317,0.551510989010989
1.00,0.5975609756097561,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.8048780487804879,0.5421545667447307
1.00,0.6951219512195121,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7195121951219512,0.6313131313131313
1.00,0.7804878048780488,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.8170731707317073,0.6365914786967419
1.00,0.7317073170731707,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7560975609756098,0.6303030303030304
